"Score","Sens","Sens_L","Sens_H","Spec","Spec_L","Spec_H","CAD_Pos_TB","CAD_Pos_Normal","Subgroup","AI","ppv","npv","CAD_Pos","XpertSaved","Comment","X","nnt"
57,0.93337976,0.92551911,0.94064634,0.55220228,0.5416071,0.562762,0.933379758588672,0.447797716150082,"MDF","CAD4TBv6",0.328375939976004,0.972479455963319,0.540058304213414,0.459941695786586,"",0.44779772,3.04529010277999
58,0.92804085,0.91991389,0.93558148,0.56886507,0.55830722,0.57937613,0.928040854224698,0.431134933581916,"MDF","CAD4TBv6",0.335512795456731,0.971183151799729,0.525547058504044,0.474452941495956,"",0.43113493,2.98051225926781
59,0.92177344,0.91334945,0.9296201,0.58144955,0.57092789,0.59191586,0.921773444753946,0.418550454439525,"MDF","CAD4TBv6",0.340625473944593,0.969407350952692,0.514162822599265,0.485837177400735,"",0.41855045,2.9357757316843
60,0.91457753,0.90583105,0.92275694,0.59193661,0.58145045,0.60236031,0.914577530176416,0.408063388487532,"MDF","CAD4TBv6",0.344575371267411,0.967257808048731,0.50430107540842,0.49569892459158,"",0.40806339,2.9021226802189
61,0.90645311,0.89736368,0.91498698,0.60207411,0.59162691,0.61245196,0.906453110492108,0.397925891400606,"MDF","CAD4TBv6",0.348250859127557,0.964835749102489,0.494546063027991,0.505453936972009,"",0.39792589,2.87149327500645
62,0.89879294,0.88939845,0.90764266,0.6137264,0.60332972,0.62404582,0.898792943361189,0.386273595898392,"MDF","CAD4TBv6",0.353085610403123,0.962758930747485,0.483652271916323,0.516347728083677,"",0.3862736,2.8321743241201
63,0.89159703,0.88193052,0.90072886,0.62817525,0.61784985,0.63841356,0.891597028783658,0.371824749475647,"MDF","CAD4TBv6",0.35998746603466,0.961095874725929,0.470581482544169,0.529418517455831,"",0.37182475,2.77787449384062
64,0.88277623,0.8727937,0.89223641,0.64145887,0.63120763,0.65161398,0.882776230269266,0.358541132603123,"MDF","CAD4TBv6",0.366100669407208,0.958895739372518,0.45814580115969,0.54185419884031,"",0.35854113,2.73148913280931
65,0.87047354,0.860079,0.88036284,0.65404335,0.64387017,0.66411185,0.870473537604457,0.345956653460732,"MDF","CAD4TBv6",0.371150039597053,0.955608428898279,0.44561486144804,0.55438513855196,"",0.34595665,2.69432815118563
66,0.85701021,0.84619889,0.86733497,0.66662783,0.65654049,0.67660192,0.857010213556175,0.333372174318341,"MDF","CAD4TBv6",0.376173963432384,0.952096091162111,0.432863401773529,0.567136598226471,"",0.33337217,2.65834453526645
67,0.84354689,0.83235032,0.85427548,0.67944535,0.66945366,0.68931508,0.843546889507892,0.320554649265905,"MDF","CAD4TBv6",0.381674359532539,0.948754906850921,0.419923174911883,0.580076825088117,"",0.32055465,2.62003452687983
68,0.82636955,0.81472207,0.8375727,0.69331158,0.683433,0.70305877,0.826369545032498,0.306688417618271,"MDF","CAD4TBv6",0.387270436466655,0.944515085930142,0.405427831826974,0.594572168173026,"",0.30668842,2.58217489856369
69,0.80896007,0.79689695,0.82060277,0.70647868,0.6967171,0.7160999,0.808960074280409,0.293521323700769,"MDF","CAD4TBv6",0.392644206778648,0.940353519029419,0.391454686310901,0.608545313689099,"",0.29352132,2.5468349786802
70,0.79387187,0.7814788,0.80586519,0.72209275,0.71248253,0.73155198,0.793871866295265,0.277907247727802,"MDF","CAD4TBv6",0.40122211931416,0.93724260836562,0.37594052525562,0.62405947474438,"",0.27790725,2.49238502032086
71,0.77321263,0.76040903,0.78564474,0.73700769,0.72755544,0.74629878,0.773212627669452,0.262992309484969,"MDF","CAD4TBv6",0.40815907912681,0.932679423999471,0.35993416994002,0.64006583005998,"",0.26299231,2.45002512779904
72,0.75580316,0.74268748,0.76857113,0.75145654,0.74217046,0.7605716,0.755803156917363,0.248543463062223,"MDF","CAD4TBv6",0.416332579785976,0.929172622993928,0.3449228048947,0.6550771951053,"",0.24854346,2.40192588462347
73,0.73212628,0.71863159,0.74530555,0.76474015,0.75561891,0.77368133,0.732126276694522,0.235259846189699,"MDF","CAD4TBv6",0.421956277188968,0.924073833697769,0.329664467985616,0.670335532014384,"",0.23525985,2.36991378979335
74,0.70728877,0.69344823,0.72084772,0.77837334,0.76943398,0.78712332,0.707288765088208,0.221626660452109,"MDF","CAD4TBv6",0.428110266847545,0.918939902083086,0.313902460332968,0.686097539667032,"",0.22162666,2.33584680732759
75,0.68361188,0.66948726,0.69748715,0.79387089,0.78515502,0.8023868,0.683611884865367,0.206129107434165,"MDF","CAD4TBv6",0.437547216706292,0.914507837165476,0.296850835146093,0.703149164853907,"",0.20612911,2.28546762913421
76,0.6545961,0.64017983,0.66880246,0.80692146,0.79840861,0.81522542,0.654596100278552,0.193078536471685,"MDF","CAD4TBv6",0.442976965782848,0.908754562538059,0.28076687359499,0.71923312640501,"",0.19307854,2.25745372162355
77,0.62650882,0.61186599,0.64097991,0.81915637,0.81084714,0.82724834,0.626508820798514,0.18084362619436,"MDF","CAD4TBv6",0.448315262813062,0.903382902522145,0.26552001316915,0.73447998683085,"",0.18084363,2.2305731768427
78,0.60051068,0.58570458,0.61518035,0.83069215,0.8225876,0.83857151,0.600510677808728,0.169307853647168,"MDF","CAD4TBv6",0.454142133806838,0.898628927002948,0.251236390237865,0.748763609762135,"3/4 Xpert Saved",0.16930785,2.20195380599796
79,0.57172702,0.55679019,0.5865665,0.84490795,0.83707412,0.85250683,0.571727019498607,0.155092053134468,"MDF","CAD4TBv6",0.463722025160075,0.893735354216343,0.234252696743654,0.765747303256346,"",0.15509205,2.15646431642923
