"","TID"
"13014","2020106397-9"
"13015","2020106398-7"
"13016","2020106400-1"
"13017","2020106401-9"
"13018","2020106403-5"
"13019","2020106404-3"
"13020","2020106405-0"
"13021","2020106406-8"
"13022","2020106407-6"
"13023","2020106408-4"
"13024","2020106409-2"
"13025","2020106411-8"
"13026","2020106412-6"
"13027","2020106413-4"
"13028","2020106415-9"
"13029","2020106416-7"
"13030","2020106417-5"
"13031","2020106418-3"
"13032","2020106419-1"
"13033","2020106421-7"
"13034","2020106422-5"
"13035","2020106423-3"
"13036","2020106424-1"
"13037","2020106425-8"
"13038","2020106426-6"
"13039","2020106427-4"
"13040","2020106428-2"
"13041","2020106429-0"
"13042","2020106430-8"
"13043","2020106431-6"
"13044","2020106432-4"
"13045","2020106433-2"
"13046","2020106434-0"
"13047","2020106435-7"
"13048","2020106436-5"
"13049","2020106437-3"
"13050","2020106438-1"
"13051","2020106439-9"
"13052","2020106440-7"
"13053","2020106441-5"
"13054","2020106442-3"
"13055","2020106443-1"
"13056","2020106444-9"
"13057","2020106445-6"
"13058","2020106446-4"
"13059","2020106447-2"
"13060","2020106448-0"
"13061","2020106450-6"
"13062","2020106451-4"
"13063","2020106452-2"
"13064","2020106453-0"
"13065","2020106454-8"
"13066","2020106455-5"
"13067","2020106457-1"
"13068","2020106458-9"
"13069","2020106460-5"
"13070","2020106461-3"
"13071","2020106462-1"
"13072","2020106463-9"
"13073","2020106466-2"
"13074","2020106467-0"
"13075","2020106468-8"
"13076","2020106469-6"
"13077","2020106470-4"
"13078","2020106471-2"
"13079","2020106472-0"
"13080","2020106473-8"
"13081","2020106474-6"
"13082","2020106475-3"
"13083","2020106476-1"
"13084","2020106477-9"
"13085","2020106478-7"
"13086","2020106479-5"
"13087","2020106480-3"
"13088","2020106481-1"
"13089","2020106482-9"
"13090","2020106484-5"
"13091","2020106485-2"
"13092","2020106486-0"
"13093","2020106487-8"
"13094","2020106488-6"
"13095","2020106489-4"
"13096","2020106490-2"
"13097","2020106491-0"
"13098","2020106492-8"
"13099","2020106493-6"
"13100","2020106494-4"
"13101","2020106495-1"
"13102","2020106496-9"
"13103","2020106499-3"
"13104","2020106500-8"
"13105","2020106501-6"
"13106","2020106502-4"
"13107","2020106503-2"
"13108","2020106504-0"
"13109","2020106505-7"
"13110","2020106506-5"
"13111","2020106507-3"
"13112","2020106508-1"
"13113","2020106509-9"
"13114","2020106510-7"
"13115","2020106511-5"
"13116","2020106512-3"
"13117","2020106513-1"
"13118","2020106514-9"
"13119","2020106515-6"
"13120","2020106516-4"
"13121","2020106517-2"
"13122","2020106518-0"
"13123","2020106519-8"
"13124","2020106522-2"
"13125","2020106523-0"
"13126","2020106524-8"
"13127","2020106525-5"
"13128","2020106526-3"
"13129","2020106527-1"
"13130","2020106528-9"
"13131","2020106530-5"
"13132","2020106531-3"
"13133","2020106532-1"
"13134","2020106533-9"
"13135","2020106534-7"
"13136","2020106535-4"
"13137","2020106536-2"
"13138","2020106537-0"
"13139","2020106538-8"
"13140","2020106540-4"
"13141","2020106541-2"
"13142","2020106542-0"
"13143","2020106543-8"
"13144","2020106544-6"
"13145","2020106545-3"
"13146","2020106546-1"
"13147","2020106547-9"
"13148","2020106548-7"
"13149","2020106549-5"
"13150","2020106550-3"
"13151","2020106551-1"
"13152","2020106552-9"
"13153","2020106553-7"
"13154","2020106554-5"
"13155","2020106555-2"
"13156","2020106556-0"
"13157","2020106557-8"
"13158","2020106558-6"
"13159","2020106559-4"
"13160","2020106560-2"
"13161","2020106561-0"
"13162","2020106562-8"
"13163","2020106563-6"
"13164","2020106564-4"
"13165","2020106565-1"
"13166","2020106566-9"
"13167","2020106568-5"
"13168","2020106569-3"
"13169","2020106570-1"
"13170","2020106571-9"
"13171","2020106572-7"
"13172","2020106573-5"
"13173","2020106574-3"
"13174","2020106575-0"
"13175","2020106576-8"
"13176","2020106577-6"
"13177","2020106578-4"
"13178","2020106579-2"
"13179","2020106580-0"
"13180","2020106581-8"
"13181","2020106582-6"
"13182","2020106583-4"
"13183","2020106584-2"
"13184","2020106585-9"
"13185","2020106586-7"
"13186","2020106587-5"
"13187","2020106588-3"
"13188","2020106589-1"
"13189","2020106591-7"
"13190","2020106592-5"
"13191","2020106593-3"
"13192","2020106594-1"
"13193","2020106595-8"
"13194","2020106597-4"
"13195","2020106598-2"
"13196","2020106599-0"
"13197","2020106600-6"
"13198","2020106601-4"
"13199","2020106602-2"
"13200","2020106603-0"
"13201","2020106604-8"
"13202","2020106605-5"
"13203","2020106606-3"
"13204","2020106607-1"
"13205","2020106608-9"
"13206","2020106609-7"
"13207","2020106610-5"
"13208","2020106611-3"
"13209","2020106614-7"
"13210","2020106615-4"
"13211","2020106616-2"
"13212","2020106617-0"
"13213","2020106618-8"
"13214","2020106619-6"
"13215","2020106620-4"
"13216","2020106621-2"
"13217","2020106622-0"
"13218","2020106623-8"
"13219","2020106624-6"
"13220","2020106626-1"
"13221","2020106627-9"
"13222","2020106628-7"
"13223","2020106629-5"
"13224","2020106630-3"
"13225","2020106631-1"
"13226","2020106633-7"
"13227","2020106634-5"
"13228","2020106635-2"
"13229","2020106636-0"
"13230","2020106637-8"
"13231","2020106638-6"
"13232","2020106639-4"
"13233","2020106640-2"
"13234","2020106641-0"
"13235","2020106642-8"
"13236","2020106644-4"
"13237","2020106645-1"
"13238","2020106646-9"
"13239","2020106647-7"
"13240","2020106648-5"
"13241","2020106649-3"
"13242","2020106651-9"
"13243","2020106652-7"
"13244","2020106654-3"
"13245","2020106655-0"
"13246","2020106656-8"
"13247","2020106657-6"
"13248","2020106658-4"
"13249","2020106659-2"
"13250","2020106660-0"
"13251","2020106661-8"
"13252","2020106662-6"
"13253","2020106663-4"
"13254","2020106664-2"
"13255","2020106665-9"
"13256","2020106666-7"
"13257","2020106667-5"
"13258","2020106668-3"
"13259","2020106671-7"
"13260","2020106672-5"
"13261","2020106673-3"
"13262","2020106674-1"
"13263","2020106675-8"
"13264","2020106676-6"
"13265","2020106677-4"
"13266","2020106678-2"
"13267","2020106679-0"
"13268","2020106680-8"
"13269","2020106681-6"
"13270","2020106682-4"
"13271","2020106683-2"
"13272","2020106684-0"
"13273","2020106685-7"
"13274","2020106686-5"
"13275","2020106687-3"
"13276","2020106688-1"
"13277","2020106689-9"
"13278","2020106690-7"
"13279","2020106691-5"
"13280","2020106692-3"
"13281","2020106693-1"
"13282","2020106694-9"
"13283","2020106695-6"
"13284","2020106696-4"
"13285","2020106697-2"
"13286","2020106698-0"
"13287","2020106699-8"
"13288","2020106700-4"
"13289","2020106701-2"
"13290","2020106702-0"
"13291","2020106703-8"
"13292","2020106704-6"
"13293","2020106705-3"
"13294","2020106706-1"
"13295","2020106707-9"
"13296","2020106708-7"
"13297","2020106709-5"
"13298","2020106710-3"
"13299","2020106711-1"
"13300","2020106712-9"
"13301","2020106713-7"
"13302","2020106714-5"
"13303","2020106715-2"
"13304","2020106716-0"
"13305","2020106717-8"
"13306","2020106718-6"
"13307","2020106719-4"
"13308","2020106720-2"
"13309","2020106722-8"
"13310","2020106723-6"
"13311","2020106724-4"
"13312","2020106725-1"
"13313","2020106726-9"
"13314","2020106727-7"
"13315","2020106728-5"
"13316","2020106729-3"
"13317","2020106730-1"
"13318","2020106731-9"
"13319","2020106732-7"
"13320","2020106733-5"
"13321","2020106734-3"
"13322","2020106735-0"
"13323","2020106737-6"
"13324","2020106738-4"
"13325","2020106739-2"
"13326","2020106740-0"
"13327","2020106741-8"
"13328","2020106742-6"
"13329","2020106743-4"
"13330","2020106744-2"
"13331","2020106745-9"
"13332","2020106746-7"
"13333","2020106747-5"
"13334","2020106748-3"
"13335","2020106749-1"
"13336","2020106750-9"
"13337","2020106751-7"
"13338","2020106752-5"
"13339","2020106754-1"
"13340","2020106755-8"
"13341","2020106756-6"
"13342","2020106757-4"
"13343","2020106758-2"
"13344","2020106759-0"
"13345","2020106760-8"
"13346","2020106761-6"
"13347","2020106762-4"
"13348","2020106763-2"
"13349","2020106764-0"
"13350","2020106765-7"
"13351","2020106766-5"
"13352","2020106767-3"
"13353","2020106768-1"
"13354","2020106769-9"
"13355","2020106770-7"
"13356","2020106772-3"
"13357","2020106773-1"
"13358","2020106774-9"
"13359","2020106775-6"
"13360","2020106776-4"
"13361","2020106777-2"
"13362","2020106778-0"
"13363","2020106779-8"
"13364","2020106780-6"
"13365","2020106781-4"
"13366","2020106782-2"
"13367","2020106783-0"
"13368","2020106784-8"
"13369","2020106785-5"
"13370","2020106786-3"
"13371","2020106787-1"
"13372","2020106788-9"
"13373","2020106789-7"
"13374","2020106790-5"
"13375","2020106792-1"
"13376","2020106793-9"
"13377","2020106794-7"
"13378","2020106795-4"
"13379","2020106796-2"
"13380","2020106797-0"
"13381","2020106798-8"
"13382","2020106799-6"
"13383","2020106800-2"
"13384","2020106801-0"
"13385","2020106802-8"
"13386","2020106803-6"
"13387","2020106804-4"
"13388","2020106805-1"
"13389","2020106806-9"
"13390","2020106807-7"
"13391","2020106808-5"
"13392","2020106809-3"
"13393","2020106810-1"
"13394","2020106811-9"
"13395","2020106812-7"
"13396","2020106813-5"
"13397","2020106814-3"
"13398","2020106815-0"
"13399","2020106816-8"
"13400","2020106817-6"
"13401","2020106818-4"
"13402","2020106819-2"
"13403","2020106820-0"
"13404","2020106821-8"
"13405","2020106822-6"
"13406","2020106823-4"
"13407","2020106824-2"
"13408","2020106825-9"
"13409","2020106826-7"
"13410","2020106827-5"
"13411","2020106828-3"
"13412","2020106829-1"
"13413","2020106830-9"
"13414","2020106831-7"
"13415","2020106832-5"
"13416","2020106833-3"
"13417","2020106834-1"
"13418","2020106835-8"
"13419","2020106836-6"
"13420","2020106837-4"
"13421","2020106838-2"
"13422","2020106840-8"
"13423","2020106841-6"
"13424","2020106842-4"
"13425","2020106843-2"
"13426","2020106844-0"
"13427","2020106845-7"
"13428","2020106846-5"
"13429","2020106847-3"
"13430","2020106848-1"
"13431","2020106849-9"
"13432","2020106850-7"
"13433","2020106851-5"
"13434","2020106852-3"
"13435","2020106853-1"
"13436","2020106855-6"
"13437","2020106856-4"
"13438","2020106857-2"
"13439","2020106858-0"
"13440","2020106860-6"
"13441","2020106861-4"
"13442","2020106862-2"
"13443","2020106864-8"
"13444","2020106866-3"
"13445","2020106867-1"
"13446","2020106868-9"
"13447","2020106870-5"
"13448","2020106871-3"
"13449","2020106872-1"
"13450","2020106873-9"
"13451","2020106874-7"
"13452","2020106876-2"
"13453","2020106877-0"
"13454","2020106878-8"
"13455","2020106879-6"
"13456","2020106880-4"
"13457","2020106881-2"
"13458","2020106882-0"
"13459","2020106883-8"
"13460","2020106884-6"
"13461","2020106885-3"
"13462","2020106886-1"
"13463","2020106887-9"
"13464","2020106888-7"
"13465","2020106889-5"
"13466","2020106890-3"
"13467","2020106891-1"
"13468","2020106893-7"
"13469","2020106894-5"
"13470","2020106895-2"
"13471","2020106897-8"
"13472","2020106898-6"
"13473","2020106899-4"
"13474","2020106900-0"
"13475","2020106901-8"
"13476","2020106902-6"
"13477","2020106903-4"
"13478","2020106904-2"
"13479","2020106905-9"
"13480","2020106906-7"
"13481","2020106907-5"
"13482","2020106908-3"
"13483","2020106909-1"
"13484","2020106910-9"
"13485","2020106911-7"
"13486","2020106912-5"
"13487","2020106913-3"
"13488","2020106914-1"
"13489","2020106915-8"
"13490","2020106916-6"
"13491","2020106917-4"
"13492","2020106918-2"
"13493","2020106920-8"
"13494","2020106921-6"
"13495","2020106922-4"
"13496","2020106923-2"
"13497","2020106924-0"
"13498","2020106925-7"
"13499","2020106926-5"
"13500","2020106927-3"
"13501","2020106928-1"
"13502","2020106929-9"
"13503","2020106931-5"
"13504","2020106933-1"
"13505","2020106935-6"
"13506","2020106936-4"
"13507","2020106937-2"
"13508","2020106938-0"
"13509","2020106939-8"
"13510","2020106940-6"
"13511","2020106941-4"
"13512","2020106942-2"
"13513","2020106943-0"
"13514","2020106944-8"
"13515","2020106945-5"
"13516","2020106946-3"
"13517","2020106947-1"
"13518","2020106948-9"
"13519","2020106949-7"
"13520","2020106950-5"
"13521","2020106951-3"
"13522","2020106952-1"
"13523","2020106953-9"
"13524","2020106954-7"
"13525","2020106955-4"
"13526","2020106956-2"
"13527","2020106957-0"
"13528","2020106958-8"
"13529","2020106959-6"
"13530","2020106960-4"
"13531","2020106961-2"
"13532","2020106962-0"
"13533","2020106963-8"
"13534","2020106964-6"
"13535","2020106965-3"
"13536","2020106966-1"
"13537","2020106967-9"
"13538","2020106968-7"
"13539","2020106969-5"
"13540","2020106970-3"
"13541","2020106971-1"
"13542","2020106972-9"
"13543","2020106973-7"
"13544","2020106974-5"
"13545","2020106975-2"
"13546","2020106976-0"
"13547","2020106977-8"
"13548","2020106978-6"
"13549","2020106979-4"
"13550","2020106980-2"
"13551","2020106982-8"
"13552","2020106984-4"
"13553","2020106986-9"
"13554","2020106987-7"
"13555","2020106988-5"
"13556","2020106989-3"
"13557","2020106990-1"
"13558","2020106991-9"
"13559","2020106992-7"
"13560","2020106993-5"
"13561","2020106994-3"
"13562","2020106995-0"
"13563","2020106996-8"
"13564","2020106997-6"
"13565","2020106998-4"
"13566","2020106999-2"
"13567","2020107000-8"
"13568","2020107001-6"
"13569","2020107002-4"
"13570","2020107003-2"
"13571","2020107004-0"
"13572","2020107005-7"
"13573","2020107006-5"
"13574","2020107007-3"
"13575","2020107008-1"
"13576","2020107009-9"
"13577","2020107010-7"
"13578","2020107011-5"
"13579","2020107012-3"
"13580","2020107014-9"
"13581","2020107015-6"
"13582","2020107016-4"
"13583","2020107017-2"
"13584","2020107018-0"
"13585","2020107019-8"
"13586","2020107020-6"
"13587","2020107021-4"
"13588","2020107022-2"
"13589","2020107023-0"
"13590","2020107024-8"
"13591","2020107025-5"
"13592","2020107026-3"
"13593","2020107027-1"
"13594","2020107028-9"
"13595","2020107029-7"
"13596","2020107030-5"
"13597","2020107031-3"
"13598","2020107032-1"
"13599","2020107033-9"
"13600","2020107034-7"
"13601","2020107035-4"
"13602","2020107036-2"
"13603","2020107037-0"
"13604","2020107038-8"
"13605","2020107039-6"
"13606","2020107040-4"
"13607","2020107041-2"
"13608","2020107042-0"
"13609","2020107043-8"
"13610","2020107044-6"
"13611","2020107045-3"
"13612","2020107046-1"
"13613","2020107047-9"
"13614","2020107048-7"
"13615","2020107049-5"
"13616","2020107050-3"
"13617","2020107051-1"
"13618","2020107052-9"
"13619","2020107053-7"
"13620","2020107054-5"
"13621","2020107055-2"
"13622","2020107056-0"
"13623","2020107057-8"
"13624","2020107058-6"
"13625","2020107059-4"
"13626","2020107060-2"
"13627","2020107061-0"
"13628","2020107062-8"
"13629","2020107063-6"
"13630","2020107064-4"
"13631","2020107065-1"
"13632","2020107066-9"
"13633","2020107067-7"
"13634","2020107068-5"
"13635","2020107069-3"
"13636","2020107070-1"
"13637","2020107071-9"
"13638","2020107072-7"
"13639","2020107073-5"
"13640","2020107074-3"
"13641","2020107075-0"
"13642","2020107076-8"
"13643","2020107077-6"
"13644","2020107078-4"
"13645","2020107080-0"
"13646","2020107081-8"
"13647","2020107082-6"
"13648","2020107084-2"
"13649","2020107085-9"
"13650","2020107086-7"
"13651","2020107087-5"
"13652","2020107088-3"
"13653","2020107089-1"
"13654","2020107090-9"
"13655","2020107091-7"
"13656","2020107092-5"
"13657","2020107093-3"
"13658","2020107094-1"
"13659","2020107095-8"
"13660","2020107096-6"
"13661","2020107097-4"
"13662","2020107098-2"
"13663","2020107099-0"
"13664","2020107100-6"
"13665","2020107101-4"
"13666","2020107102-2"
"13667","2020107103-0"
"13668","2020107104-8"
"13669","2020107105-5"
"13670","2020107106-3"
"13671","2020107107-1"
"13672","2020107108-9"
"13673","2020107109-7"
"13674","2020107110-5"
"13675","2020107111-3"
"13676","2020107112-1"
"13677","2020107113-9"
"13678","2020107114-7"
"13679","2020107115-4"
"13680","2020107116-2"
"13681","2020107117-0"
"13682","2020107118-8"
"13683","2020107119-6"
"13684","2020107120-4"
"13685","2020107121-2"
"13686","2020107122-0"
"13687","2020107123-8"
"13688","2020107124-6"
"13689","2020107125-3"
"13690","2020107126-1"
"13691","2020107127-9"
"13692","2020107128-7"
"13693","2020107129-5"
"13694","2020107130-3"
"13695","2020107131-1"
"13696","2020107132-9"
"13697","2020107133-7"
"13698","2020107134-5"
"13699","2020107135-2"
"13700","2020107136-0"
"13701","2020107137-8"
"13702","2020107138-6"
"13703","2020107139-4"
"13704","2020107140-2"
"13705","2020107141-0"
"13706","2020107142-8"
"13707","2020107144-4"
"13708","2020107145-1"
"13709","2020107146-9"
"13710","2020107147-7"
"13711","2020107148-5"
"13712","2020107149-3"
"13713","2020107150-1"
"13714","2020107151-9"
"13715","2020107152-7"
"13716","2020107153-5"
"13717","2020107154-3"
"13718","2020107155-0"
"13719","2020107156-8"
"13720","2020107157-6"
"13721","2020107158-4"
"13722","2020107159-2"
"13723","2020107163-4"
"13724","2020107164-2"
"13725","2020107166-7"
"13726","2020107167-5"
"13727","2020107168-3"
"13728","2020107169-1"
"13729","2020107170-9"
"13730","2020107172-5"
"13731","2020107173-3"
"13732","2020107174-1"
"13733","2020107175-8"
"13734","2020107176-6"
"13735","2020107177-4"
"13736","2020107178-2"
"13737","2020107179-0"
"13738","2020107180-8"
"13739","2020107181-6"
"13740","2020107182-4"
"13741","2020107183-2"
"13742","2020107184-0"
"13743","2020107185-7"
"13744","2020107186-5"
"13745","2020107187-3"
"13746","2020107188-1"
"13747","2020107189-9"
"13748","2020107190-7"
"13749","2020107191-5"
"13750","2020107193-1"
"13751","2020107194-9"
"13752","2020107195-6"
"13753","2020107196-4"
"13754","2020107197-2"
"13755","2020107198-0"
"13756","2020107199-8"
"13757","2020107200-4"
"13758","2020107201-2"
"13759","2020107202-0"
"13760","2020107203-8"
"13761","2020107204-6"
"13762","2020107205-3"
"13763","2020107206-1"
"13764","2020107207-9"
"13765","2020107208-7"
"13766","2020107209-5"
"13767","2020107210-3"
"13768","2020107211-1"
"13769","2020107212-9"
"13770","2020107213-7"
"13771","2020107214-5"
"13772","2020107215-2"
"13773","2020107216-0"
"13774","2020107217-8"
"13775","2020107218-6"
"13776","2020107219-4"
"13777","2020107220-2"
"13778","2020107221-0"
"13779","2020107222-8"
"13780","2020107223-6"
"13781","2020107224-4"
"13782","2020107225-1"
"13783","2020107226-9"
"13784","2020107227-7"
"13785","2020107228-5"
"13786","2020107229-3"
"13787","2020107230-1"
"13788","2020107231-9"
"13789","2020107232-7"
"13790","2020107233-5"
"13791","2020107234-3"
"13792","2020107235-0"
"13793","2020107236-8"
"13794","2020107237-6"
"13795","2020107238-4"
"13796","2020107239-2"
"13797","2020107240-0"
"13798","2020107242-6"
"13799","2020107243-4"
"13800","2020107244-2"
"13801","2020107245-9"
"13802","2020107246-7"
"13803","2020107247-5"
"13804","2020107248-3"
"13805","2020107249-1"
"13806","2020107251-7"
"13807","2020107252-5"
"13808","2020107253-3"
"13809","2020107254-1"
"13810","2020107255-8"
"13811","2020107256-6"
"13812","2020107257-4"
"13813","2020107258-2"
"13814","2020107259-0"
"13815","2020107260-8"
"13816","2020107261-6"
"13817","2020107262-4"
"13818","2020107263-2"
"13819","2020107264-0"
"13820","2020107265-7"
"13821","2020107266-5"
"13822","2020107267-3"
"13823","2020107268-1"
"13824","2020107269-9"
"13825","2020107270-7"
"13826","2020107271-5"
"13827","2020107272-3"
"13828","2020107273-1"
"13829","2020107274-9"
"13830","2020107275-6"
"13831","2020107276-4"
"13832","2020107278-0"
"13833","2020107279-8"
"13834","2020107280-6"
"13835","2020107281-4"
"13836","2020107282-2"
"13837","2020107283-0"
"13838","2020107284-8"
"13839","2020107285-5"
"13840","2020107286-3"
"13841","2020107287-1"
"13842","2020107288-9"
"13843","2020107289-7"
"13844","2020107290-5"
"13845","2020107291-3"
"13846","2020107292-1"
"13847","2020107293-9"
"13848","2020107294-7"
"13849","2020107295-4"
"13850","2020107296-2"
"13851","2020107297-0"
"13852","2020107298-8"
"13853","2020107299-6"
"13854","2020107300-2"
"13855","2020107301-0"
"13856","2020107302-8"
"13857","2020107303-6"
"13858","2020107304-4"
"13859","2020107305-1"
"13860","2020107306-9"
"13861","2020107307-7"
"13862","2020107308-5"
"13863","2020107309-3"
"13864","2020107310-1"
"13865","2020107311-9"
"13866","2020107312-7"
"13867","2020107313-5"
"13868","2020107314-3"
"13869","2020107315-0"
"13870","2020107316-8"
"13871","2020107317-6"
"13872","2020107318-4"
"13873","2020107319-2"
"13874","2020107320-0"
"13875","2020107321-8"
"13876","2020107322-6"
"13877","2020107323-4"
"13878","2020107324-2"
"13879","2020107325-9"
"13880","2020107326-7"
"13881","2020107327-5"
"13882","2020107328-3"
"13883","2020107329-1"
"13884","2020107330-9"
"13885","2020107331-7"
"13886","2020107332-5"
"13887","2020107333-3"
"13888","2020107334-1"
"13889","2020107335-8"
"13890","2020107336-6"
"13891","2020107337-4"
"13892","2020107338-2"
"13893","2020107339-0"
"13894","2020107341-6"
"13895","2020107342-4"
"13896","2020107343-2"
"13897","2020107344-0"
"13898","2020107346-5"
"13899","2020107347-3"
"13900","2020107348-1"
"13901","2020107349-9"
"13902","2020107350-7"
"13903","2020107351-5"
"13904","2020107352-3"
"13905","2020107353-1"
"13906","2020107354-9"
"13907","2020107355-6"
"13908","2020107356-4"
"13909","2020107357-2"
"13910","2020107358-0"
"13911","2020107359-8"
"13912","2020107360-6"
"13913","2020107361-4"
"13914","2020107362-2"
"13915","2020107363-0"
"13916","2020107364-8"
"13917","2020107369-7"
"13918","2020107370-5"
"13919","2020107371-3"
"13920","2020107372-1"
"13921","2020107373-9"
"13922","2020107374-7"
"13923","2020107375-4"
"13924","2020107376-2"
"13925","2020107377-0"
"13926","2020107378-8"
"13927","2020107380-4"
"13928","2020107381-2"
"13929","2020107382-0"
"13930","2020107383-8"
"13931","2020107384-6"
"13932","2020107385-3"
"13933","2020107386-1"
"13934","2020107388-7"
"13935","2020107389-5"
"13936","2020107390-3"
"13937","2020107391-1"
"13938","2020107392-9"
"13939","2020107393-7"
"13940","2020107394-5"
"13941","2020107395-2"
"13942","2020107396-0"
"13943","2020107398-6"
"13944","2020107399-4"
"13945","2020107400-0"
"13946","2020107401-8"
"13947","2020107402-6"
"13948","2020107404-2"
"13949","2020107405-9"
"13950","2020107406-7"
"13951","2020107407-5"
"13952","2020107408-3"
"13953","2020107409-1"
"13954","2020107410-9"
"13955","2020107411-7"
"13956","2020107415-8"
"13957","2020107416-6"
"13958","2020107417-4"
"13959","2020107418-2"
"13960","2020107419-0"
"13961","2020107420-8"
"13962","2020107421-6"
"13963","2020107423-2"
"13964","2020107424-0"
"13965","2020107425-7"
"13966","2020107426-5"
"13967","2020107427-3"
"13968","2020107428-1"
"13969","2020107429-9"
"13970","2020107430-7"
"13971","2020107431-5"
"13972","2020107432-3"
"13973","2020107433-1"
"13974","2020107435-6"
"13975","2020107436-4"
"13976","2020107437-2"
"13977","2020107438-0"
"13978","2020107439-8"
"13979","2020107440-6"
"13980","2020107441-4"
"13981","2020107442-2"
"13982","2020107443-0"
"13983","2020107444-8"
"13984","2020107446-3"
"13985","2020107447-1"
"13986","2020107448-9"
"13987","2020107449-7"
"13988","2020107451-3"
"13989","2020107452-1"
"13990","2020107453-9"
"13991","2020107454-7"
"13992","2020107455-4"
"13993","2020107456-2"
"13994","2020107457-0"
"13995","2020107458-8"
"13996","2020107459-6"
"13997","2020107460-4"
"13998","2020107461-2"
"13999","2020107462-0"
"14000","2020107463-8"
"14001","2020107464-6"
"14002","2020107465-3"
"14003","2020107466-1"
"14004","2020107467-9"
"14005","2020107468-7"
"14006","2020107469-5"
"14007","2020107470-3"
"14008","2020107471-1"
"14009","2020107472-9"
"14010","2020107473-7"
"14011","2020107474-5"
"14012","2020107475-2"
"14013","2020107476-0"
"14014","2020107477-8"
"14015","2020107478-6"
"14016","2020107479-4"
"14017","2020107480-2"
"14018","2020107481-0"
"14019","2020107482-8"
"14020","2020107483-6"
"14021","2020107484-4"
"14022","2020107485-1"
"14023","2020107488-5"
"14024","2020107489-3"
"14025","2020107491-9"
"14026","2020107492-7"
"14027","2020107493-5"
"14028","2020107494-3"
"14029","2020107495-0"
"14030","2020107496-8"
"14031","2020107497-6"
"14032","2020107498-4"
"14033","2020107499-2"
"14034","2020107501-5"
"14035","2020107502-3"
"14036","2020107503-1"
"14037","2020107504-9"
"14038","2020107505-6"
"14039","2020107506-4"
"14040","2020107507-2"
"14041","2020107508-0"
"14042","2020107509-8"
"14043","2020107510-6"
"14044","2020107511-4"
"14045","2020107512-2"
"14046","2020107513-0"
"14047","2020107514-8"
"14048","2020107515-5"
"14049","2020107516-3"
"14050","2020107517-1"
"14051","2020107518-9"
"14052","2020107519-7"
"14053","2020107520-5"
"14054","2020107521-3"
"14055","2020107522-1"
"14056","2020107523-9"
"14057","2020107524-7"
"14058","2020107525-4"
"14059","2020107526-2"
"14060","2020107527-0"
"14061","2020107528-8"
"14062","2020107529-6"
"14063","2020107531-2"
"14064","2020107532-0"
"14065","2020107533-8"
"14066","2020107534-6"
"14067","2020107535-3"
"14068","2020107536-1"
"14069","2020107537-9"
"14070","2020107538-7"
"14071","2020107539-5"
"14072","2020107540-3"
"14073","2020107541-1"
"14074","2020107542-9"
"14075","2020107543-7"
"14076","2020107544-5"
"14077","2020107546-0"
"14078","2020107547-8"
"14079","2020107548-6"
"14080","2020107549-4"
"14081","2020107550-2"
"14082","2020107551-0"
"14083","2020107552-8"
"14084","2020107553-6"
"14085","2020107554-4"
"14086","2020107555-1"
"14087","2020107556-9"
"14088","2020107557-7"
"14089","2020107558-5"
"14090","2020107559-3"
"14091","2020107560-1"
"14092","2020107561-9"
"14093","2020107562-7"
"14094","2020107564-3"
"14095","2020107565-0"
"14096","2020107568-4"
"14097","2020107569-2"
"14098","2020107570-0"
"14099","2020107571-8"
"14100","2020107572-6"
"14101","2020107573-4"
"14102","2020107574-2"
"14103","2020107575-9"
"14104","2020107576-7"
"14105","2020107577-5"
"14106","2020107578-3"
"14107","2020107579-1"
"14108","2020107581-7"
"14109","2020107582-5"
"14110","2020107583-3"
"14111","2020107584-1"
"14112","2020107585-8"
"14113","2020107586-6"
"14114","2020107587-4"
"14115","2020107588-2"
"14116","2020107590-8"
"14117","2020107591-6"
"14118","2020107592-4"
"14119","2020107593-2"
"14120","2020107594-0"
"14121","2020107595-7"
"14122","2020107596-5"
"14123","2020107597-3"
"14124","2020107598-1"
"14125","2020107599-9"
"14126","2020107600-5"
"14127","2020107601-3"
"14128","2020107602-1"
"14129","2020107603-9"
"14130","2020107604-7"
"14131","2020107605-4"
"14132","2020107606-2"
"14133","2020107608-8"
"14134","2020107609-6"
"14135","2020107611-2"
"14136","2020107612-0"
"14137","2020107613-8"
"14138","2020107614-6"
"14139","2020107615-3"
"14140","2020107616-1"
"14141","2020107617-9"
"14142","2020107618-7"
"14143","2020107619-5"
"14144","2020107620-3"
"14145","2020107621-1"
"14146","2020107623-7"
"14147","2020107625-2"
"14148","2020107626-0"
"14149","2020107627-8"
"14150","2020107628-6"
"14151","2020107629-4"
"14152","2020107630-2"
"14153","2020107631-0"
"14154","2020107632-8"
"14155","2020107633-6"
"14156","2020107634-4"
"14157","2020107635-1"
"14158","2020107638-5"
"14159","2020107639-3"
"14160","2020107640-1"
"14161","2020107641-9"
"14162","2020107642-7"
"14163","2020107643-5"
"14164","2020107644-3"
"14165","2020107645-0"
"14166","2020107646-8"
"14167","2020107647-6"
"14168","2020107648-4"
"14169","2020107649-2"
"14170","2020107650-0"
"14171","2020107652-6"
"14172","2020107653-4"
"14173","2020107654-2"
"14174","2020107655-9"
"14175","2020107656-7"
"14176","2020107657-5"
"14177","2020107658-3"
"14178","2020107659-1"
"14179","2020107660-9"
