FileName,TID,Folder,Option
2020100181-3,2020100181-3,1st Batch\Dhanmondi_TBSTC,
2020100182-1,2020100182-1,1st Batch\Dhanmondi_TBSTC,
2020100183-9,2020100183-9,1st Batch\Dhanmondi_TBSTC,
2020100185-4,2020100185-4,1st Batch\Dhanmondi_TBSTC,
2020100187-0,2020100187-0,1st Batch\Dhanmondi_TBSTC,
2020100189-6,2020100189-6,1st Batch\Dhanmondi_TBSTC,
2020100190-4,2020100190-4,1st Batch\Dhanmondi_TBSTC,
2020100191-2,2020100191-2,1st Batch\Dhanmondi_TBSTC,
2020100192-0,2020100192-0,1st Batch\Dhanmondi_TBSTC,
2020100193-8,2020100193-8,1st Batch\Dhanmondi_TBSTC,
2020100194-6,2020100194-6,1st Batch\Dhanmondi_TBSTC,
2020100195-3,2020100195-3,1st Batch\Dhanmondi_TBSTC,
2020100196-1,2020100196-1,1st Batch\Dhanmondi_TBSTC,
2020100197-9,2020100197-9,1st Batch\Dhanmondi_TBSTC,
2020100198-7,2020100198-7,1st Batch\Dhanmondi_TBSTC,
2020100199-5,2020100199-5,1st Batch\Dhanmondi_TBSTC,
2020100200-1,2020100200-1,1st Batch\Dhanmondi_TBSTC,
2020100201-9,2020100201-9,1st Batch\Dhanmondi_TBSTC,
2020100202-7,2020100202-7,1st Batch\Dhanmondi_TBSTC,
2020100203-5,2020100203-5,1st Batch\Dhanmondi_TBSTC,
2020100204-3,2020100204-3,1st Batch\Dhanmondi_TBSTC,
2020100206-8,2020100206-8,1st Batch\Dhanmondi_TBSTC,
2020100208-4,2020100208-4,1st Batch\Dhanmondi_TBSTC,
2020100209-2,2020100209-2,1st Batch\Dhanmondi_TBSTC,
2020100210-0,2020100210-0,1st Batch\Dhanmondi_TBSTC,
2020100211-8,2020100211-8,1st Batch\Dhanmondi_TBSTC,
2020100213-4,2020100213-4,1st Batch\Dhanmondi_TBSTC,
2020100215-9,2020100215-9,1st Batch\Dhanmondi_TBSTC,
2020100216-7,2020100216-7,1st Batch\Dhanmondi_TBSTC,
2020100217-5,2020100217-5,1st Batch\Dhanmondi_TBSTC,
2020100218-3,2020100218-3,1st Batch\Dhanmondi_TBSTC,
2020100219-1,2020100219-1,1st Batch\Dhanmondi_TBSTC,
2020100221-7,2020100221-7,1st Batch\Dhanmondi_TBSTC,
2020100222-5,2020100222-5,1st Batch\Dhanmondi_TBSTC,
2020100223-3,2020100223-3,1st Batch\Dhanmondi_TBSTC,
