"Site","DeepLearningSystem","Score","Sensitivity","Specificity","PPV","NPV","nnt","XpertSaved%","Sens","Sens_L","Sens_H","Spec","Spec_L","Spec_H","ppv","PPV_L","PPV_H","npv","NPV_L","NPV_H","X"
"MDF","qXRv2",78,"82.1% (80.878-83.19204%)","77.1% (76.2348-78.0232%)","64.3% (63.024880-65.57552%)","89.5% (88.8242520-90.232722%)","1.6 (1.5-1.6)",0.57354538,0.82056639,0.80877597,0.83192045,0.77138196,0.76234767,0.78023165,0.64307804,0.6302488,0.65575523,0.89544163,0.88824252,0.90232722,0.22861804
"MDF","qXRv2",79,"81.2% (79.975-82.33206%)","77.8% (76.9552-78.7238%)","64.8% (63.492066-66.05844%)","89.2% (88.4496150-89.869984%)","1.5 (1.5-1.6)",0.58122576,0.81174559,0.79974637,0.82332057,0.77848986,0.76955212,0.78723815,0.64783253,0.63492066,0.66058439,0.8917512,0.88449615,0.89869984,0.22151014
"MDF","qXRv2",80,"80.3% (79.073-81.47110%)","78.6% (77.6878-79.4356%)","65.3% (63.989324-66.57139%)","88.8% (88.0867220-89.517676%)","1.5 (1.5-1.6)",0.58898371,0.80292479,0.79072647,0.81471096,0.78571429,0.77687849,0.79435568,0.65288788,0.63989324,0.6657139,0.88817176,0.88086722,0.89517676,0.21428571
"MDF","qXRv2",81,"78.8% (77.579-80.04170%)","79.5% (78.6101-80.3304%)","65.9% (64.539609-67.14690%)","88.2% (87.4666200-88.917222%)","1.5 (1.5-1.5)",0.59992242,0.78830084,0.77579254,0.80041701,0.79480308,0.78610124,0.80330431,0.6585224,0.64539609,0.67146905,0.88206388,0.8746662,0.88917222,0.20519692
"MDF","qXRv2",82,"77.8% (76.490-78.99653%)","80.3% (79.4384-81.1329%)","66.5% (65.132539-67.75852%)","87.8% (87.0500050-88.511050%)","1.5 (1.5-1.5)",0.60892164,0.77762303,0.76490328,0.78996526,0.80295968,0.7943837,0.81132948,0.66455068,0.65132539,0.67758517,0.87794624,0.87050005,0.8851105,0.19704032
"MDF","qXRv2",83,"76.3% (75.001-77.56318%)","81.2% (80.3856-82.0494%)","67.1% (65.773181-68.42445%)","87.2% (86.4730220-87.949166%)","1.5 (1.5-1.5)",0.62001552,0.76299907,0.75000881,0.7756318,0.81228152,0.80385623,0.82049425,0.67109024,0.65773181,0.68424446,0.87224725,0.86473022,0.87949166,0.18771848
"MDF","qXRv2",84,"75.0% (73.655-76.26455%)","82.1% (81.2625-82.8965%)","67.8% (66.409597-69.08362%)","86.7% (85.9719260-87.459698%)","1.5 (1.4-1.5)",0.63017843,0.74976787,0.73655077,0.7626455,0.82090422,0.81262518,0.82896479,0.67757499,0.66409597,0.6908362,0.86729041,0.85971926,0.87459698,0.17909578
"MDF","qXRv2",85,"72.8% (71.486-74.16516%)","83.1% (82.2825-83.8800%)","68.4% (67.013297-69.72510%)","85.9% (85.1381390-86.647187%)","1.5 (1.4-1.5)",0.64398759,0.72841226,0.71486259,0.74165157,0.83092519,0.82282491,0.83880013,0.68380911,0.67013297,0.69725099,0.85905313,0.85138139,0.86647187,0.16907481
"MDF","qXRv2",86,"70.7% (69.345-72.08477%)","84.2% (83.4460-84.9996%)","69.2% (67.862689-70.61171%)","85.1% (84.3728380-85.897420%)","1.4 (1.4-1.5)",0.65865012,0.70728877,0.69344823,0.72084772,0.84234444,0.8344602,0.8499955,0.6925,0.67862689,0.70611715,0.85147232,0.84372838,0.8589742,0.15765556
"MDF","qXRv2",87,"68.6% (67.183-69.97793%)","85.6% (84.8370-86.3343%)","70.5% (69.101772-71.88605%)","84.4% (83.6676380-85.202191%)","1.4 (1.4-1.4)",0.67486424,0.68593315,0.6718345,0.69977928,0.85597763,0.8483701,0.8633426,0.70508232,0.69101772,0.71886052,0.84446488,0.83667638,0.85202191,0.14402237
"MDF","qXRv2",88,"65.5% (64.088-66.94916%)","87.2% (86.4329-87.8601%)","71.9% (70.489025-73.32540%)","83.4% (82.6496200-84.199753%)","1.4 (1.4-1.4)",0.69550039,0.65529248,0.64088251,0.6694916,0.8715917,0.8643292,0.87860089,0.71923567,0.70489025,0.73325401,0.83435583,0.8264962,0.84199753,0.1284083
"MDF","qXRv2",89,"62.0% (60.485-63.40736%)","88.6% (87.9128-89.2690%)","73.2% (71.713758-74.61587%)","82.3% (81.4734770-83.041456%)","1.4 (1.3-1.4)",0.71706749,0.61954503,0.60485418,0.63407361,0.88604055,0.87912796,0.89268982,0.73183438,0.71713758,0.74615873,0.82267662,0.81473477,0.83041456,0.11395945
"MDF","qXRv2",90,"57.9% (56.448-59.41865%)","90.1% (89.4680-90.7423%)","74.6% (73.130465-76.10862%)","81.0% (80.2168930-81.800590%)","1.3 (1.3-1.4)",0.74057409,0.57938719,0.56448011,0.59418652,0.90118853,0.89467996,0.90742325,0.74641148,0.73130465,0.76108624,0.81018228,0.80216893,0.8180059,0.09881147
"MDF","qXRv2",91,"53.1% (51.584-54.58659%)","91.9% (91.2562-92.4253%)","76.6% (75.029632-78.09961%)","79.6% (78.7866970-80.384070%)","1.3 (1.3-1.3)",0.76834756,0.53087279,0.51583783,0.54586587,0.91855045,0.91256205,0.92425284,0.76590757,0.75029632,0.78099609,0.79594103,0.78786697,0.8038407,0.08144955
"MDF","qXRv2",92,"46.9% (45.367-48.36974%)","93.7% (93.1248-94.1676%)","78.8% (77.139889-80.34385%)","77.8% (77.0210760-78.632803%)","1.3 (1.2-1.3)",0.80116369,0.46866295,0.45367106,0.48369737,0.93661151,0.93124821,0.94167598,0.78774873,0.77139889,0.8034385,0.77834802,0.77021076,0.78632803,0.06338849
"MDF","qXRv2",93,"39.7% (38.228-41.17279%)","95.5% (95.0178-95.9088%)","81.5% (79.777440-83.14644%)","75.9% (75.1084400-76.730775%)","1.2 (1.2-1.3)",0.83723817,0.39693593,0.38228383,0.41172792,0.95478909,0.95017814,0.95908799,0.81506196,0.7977744,0.83146443,0.75926612,0.7510844,0.76730775,0.04521091
"MDF","qXRv2",94,"30.5% (29.151-31.92423%)","97.1% (96.7336-97.4544%)","84.1% (82.225947-85.91098%)","73.6% (72.7540040-74.386683%)","1.2 (1.2-1.2)",0.87874321,0.30524605,0.2915143,0.31924233,0.97110231,0.96733596,0.97454408,0.84133077,0.82225947,0.85910981,0.7357641,0.72754004,0.74386683,0.02889769
"MDF","qXRv2",95,"19.9% (18.710-21.11713%)","98.5% (98.2670-98.7862%)","87.3% (85.023149-89.29222%)","71.0% (70.1953780-71.833301%)","1.1 (1.1-1.2)",0.92381691,0.19893222,0.18710278,0.21117126,0.98543463,0.98267028,0.98786176,0.87270876,0.85023149,0.89292217,0.71019483,0.70195378,0.71833301,0.01456537
"MDF","qXRv2",96,"9.6% (8.724-10.50518%)","99.5% (99.2857-99.6073%)","90.0% (86.859024-92.56904%)","68.7% (67.8433210-69.482015%)","1.1 (1.1-1.2)",0.964391,0.09586815,0.08723678,0.10505181,0.99463994,0.99285684,0.99607317,0.89978214,0.86859024,0.92569036,0.68667042,0.67843321,0.69482015,0.00536006
"MDF","qXRv2",97,"2.3% (1.872-2.79077%)","99.9% (99.7858-99.9441%)","90.8% (83.774815-95.51243%)","67.1% (66.2458130-67.883018%)","1.1 (1-1.2)",0.99154383,0.0229805,0.01871571,0.02790775,0.99883477,0.99785815,0.99944109,0.90825688,0.83774815,0.95512429,0.67068305,0.66245813,0.67883018,0.00116523000000002
"MDF","qXRv2",98,"0.1% (0.038-0.27064%)","100.0% (99.9570-100.0000%)","100.0% (47.817625-100.00000%)","66.6% (65.7826860-67.418966%)","1 (1-2.1)",0.9996121,0.00116063,0.00037696,0.00270643,1,0.99957025,1,1,0.47817625,1,0.66604579,0.65782686,0.67418966,0
"MDF","qXRv2",99,"0.0% (0.000-0.08559%)","100.0% (99.9570-100.0000%)","NA (0.000000-100.00000%)","66.6% (65.7568600-67.393135%)","NaN (1-Inf)",1,0,0,0.00085592,1,0.99957025,1,NA,0,1,0.66578743,0.6575686,0.67393135,0
"MDF","qXRv2",100,"0.0% (0.000-0.08559%)","100.0% (99.9570-100.0000%)","NA (0.000000-100.00000%)","66.6% (65.7568600-67.393135%)","NaN (1-Inf)",1,0,0,0.00085592,1,0.99957025,1,NA,0,1,0.66578743,0.6575686,0.67393135,0
"MDF","CAD4TBv6",0,"100.0% (99.914-100.00000%)","0.0% (0.0000-0.0430%)","33.4% (32.606865-34.24314%)","NA (0.0000000-100.000000%)","3 (2.9-3.1)",0,1,0.99914408,1,0,0,0.00042975,0.33421257,0.32606865,0.3424314,NA,0,1,1
"MDF","CAD4TBv6",1,"100.0% (99.914-100.00000%)","0.0% (0.0000-0.0430%)","33.4% (32.606865-34.24314%)","NA (0.0000000-100.000000%)","3 (2.9-3.1)",0,1,0.99914408,1,0,0,0.00042975,0.33421257,0.32606865,0.3424314,NA,0,1,1
"MDF","CAD4TBv6",2,"100.0% (99.914-100.00000%)","0.0% (0.0028-0.0842%)","33.4% (32.611956-34.24842%)","100.0% (15.8113880-100.000000%)","3 (2.9-3.1)",0.000155160000000043,1,0.99914408,1,0.00023305,2.822e-05,0.00084159,0.33426443,0.32611956,0.34248421,1,0.15811388,1,0.99976695
"MDF","CAD4TBv6",3,"100.0% (99.914-100.00000%)","0.1% (0.0328-0.1680%)","33.4% (32.624689-34.26163%)","100.0% (59.0383600-100.000000%)","3 (2.9-3.1)",0.00054306000000004,1,0.99914408,1,0.00081566,0.000328,0.00167985,0.33439416,0.32624689,0.34261631,1,0.5903836,1,0.99918434
"MDF","CAD4TBv6",4,"100.0% (99.914-100.00000%)","0.1% (0.0723-0.2441%)","33.5% (32.637432-34.27485%)","100.0% (73.5351530-100.000000%)","3 (2.9-3.1)",0.000930949999999986,1,0.99914408,1,0.00139828,0.00072271,0.00244123,0.33452399,0.32637432,0.34274851,1,0.73535153,1,0.99860172
"MDF","CAD4TBv6",5,"100.0% (99.914-100.00000%)","0.3% (0.2169-0.4712%)","33.5% (32.678278-34.31722%)","100.0% (87.6563880-100.000000%)","3 (2.9-3.1)",0.00217223,1,0.99914408,1,0.00326264,0.00216906,0.004712,0.33494013,0.32678278,0.34317223,1,0.87656388,1,0.99673736
"MDF","CAD4TBv6",6,"100.0% (99.914-100.00000%)","0.6% (0.4428-0.7806%)","33.6% (32.737174-34.37832%)","100.0% (93.0222970-100.000000%)","3 (2.9-3.1)",0.00395656,1,0.99914408,1,0.00594267,0.00442782,0.0078062,0.33554015,0.32737174,0.34378317,1,0.93022297,1,0.99405733
"MDF","CAD4TBv6",7,"100.0% (99.914-100.00000%)","1.0% (0.7815-1.2104%)","33.6% (32.822049-34.46635%)","100.0% (95.7035080-100.000000%)","3 (2.9-3)",0.00651668000000005,1,0.99914408,1,0.00978793,0.00781453,0.01210398,0.33640481,0.32822049,0.34466354,1,0.95703508,1,0.99021207
"MDF","CAD4TBv6",8,"100.0% (99.871-99.99941%)","1.3% (1.0652-1.5555%)","33.7% (32.886632-34.53354%)","99.1% (95.1256700-99.977397%)","3 (2.9-3)",0.00868891000000005,0.99976787,0.99870736,0.99999412,0.01293405,0.01065173,0.01555531,0.3370637,0.32886632,0.34533536,0.99107143,0.9512567,0.99977397,0.98706595
"MDF","CAD4TBv6",9,"100.0% (99.871-99.99941%)","1.6% (1.3205-1.8592%)","33.8% (32.948895-34.59811%)","99.3% (95.9714020-99.981386%)","3 (2.9-3)",0.01055081,0.99976787,0.99870736,0.99999412,0.0157306,0.01320515,0.0185921,0.33769798,0.32948895,0.34598112,0.99264706,0.95971402,0.99981386,0.9842694
"MDF","CAD4TBv6",10,"100.0% (99.871-99.99941%)","2.0% (1.7182-2.3233%)","33.9% (33.045349-34.69814%)","99.4% (96.8216300-99.985366%)","3 (2.9-3)",0.01342126,0.99976787,0.99870736,0.99999412,0.02004195,0.01718249,0.02323343,0.33868051,0.33045349,0.34698141,0.99421965,0.9682163,0.99985366,0.97995805
"MDF","CAD4TBv6",11,"100.0% (99.832-99.99438%)","2.4% (2.1087-2.7715%)","34.0% (33.134530-34.79082%)","99.0% (96.6022050-99.884453%)","2.9 (2.9-3)",0.0162917,0.99953575,0.99832398,0.99994377,0.02423677,0.02108724,0.0277147,0.33958991,0.3313453,0.34790819,0.99047619,0.96602205,0.99884453,0.97576323
"MDF","CAD4TBv6",12,"100.0% (99.832-99.99438%)","2.9% (2.5456-3.2664%)","34.1% (33.240035-34.90022%)","99.2% (97.1401650-99.902969%)","2.9 (2.9-3)",0.01939488,0.99953575,0.99832398,0.99994377,0.02889769,0.02545592,0.03266404,0.34066456,0.33240035,0.34900219,0.992,0.97140165,0.99902969,0.97110231
"MDF","CAD4TBv6",13,"99.9% (99.797-99.98564%)","3.4% (3.0180-3.7957%)","34.2% (33.348978-35.01337%)","99.0% (97.0470580-99.789071%)","2.9 (2.9-3)",0.02280838,0.99930362,0.99796625,0.99985637,0.03390818,0.03017961,0.03795737,0.34177517,0.33348978,0.35013372,0.98979592,0.97047058,0.99789071,0.96609182
"MDF","CAD4TBv6",14,"99.9% (99.797-99.98564%)","4.1% (3.6586-4.5062%)","34.3% (33.504212-35.17430%)","99.1% (97.5296290-99.823895%)","2.9 (2.8-3)",0.0273079899999999,0.99930362,0.99796625,0.99985637,0.04066651,0.03658603,0.04506245,0.3433562,0.33504212,0.35174304,0.99147727,0.97529629,0.99823895,0.95933349
"MDF","CAD4TBv6",15,"99.9% (99.797-99.98564%)","4.6% (4.1356-5.0309%)","34.5% (33.620236-35.29457%)","99.2% (97.7965890-99.843099%)","2.9 (2.8-3)",0.03064391,0.99930362,0.99796625,0.99985637,0.045677,0.04135642,0.05030929,0.34453782,0.33620236,0.35294574,0.99240506,0.97796589,0.99843099,0.954323
"MDF","CAD4TBv6",16,"99.9% (99.797-99.98564%)","5.1% (4.6253-5.5663%)","34.6% (33.739794-35.41849%)","99.3% (98.0159800-99.858850%)","2.9 (2.8-3)",0.03405741,0.99930362,0.99796625,0.99985637,0.05080401,0.04625291,0.05566305,0.34575536,0.33739794,0.35418494,0.99316629,0.9801598,0.9985885,0.94919599
"MDF","CAD4TBv6",17,"99.9% (99.697-99.94887%)","5.6% (5.1609-6.1489%)","34.7% (33.855391-35.53890%)","98.8% (97.3539610-99.549344%)","2.9 (2.8-3)",0.03801396,0.99860724,0.99697104,0.99948872,0.05639711,0.05160949,0.0614886,0.34693548,0.33855391,0.35538896,0.9877551,0.97353961,0.99549344,0.94360289
"MDF","CAD4TBv6",18,"99.8% (99.665-99.93465%)","6.1% (5.5860-6.6091%)","34.8% (33.954844-35.64216%)","98.7% (97.2926920-99.466374%)","2.9 (2.8-2.9)",0.04103957,0.99837512,0.996655,0.99934647,0.06082498,0.05585979,0.06609085,0.3479492,0.33954844,0.3564216,0.98676749,0.97292692,0.99466374,0.93917502
"MDF","CAD4TBv6",19,"99.8% (99.665-99.93465%)","6.4% (5.8884-6.9356%)","34.9% (34.029647-35.71967%)","98.7% (97.4232820-99.492362%)","2.9 (2.8-2.9)",0.04313421,0.99837512,0.996655,0.99934647,0.0639711,0.05888441,0.06935621,0.34871088,0.34029647,0.35719674,0.98741007,0.97423282,0.99492362,0.9360289
"MDF","CAD4TBv6",20,"99.8% (99.665-99.93465%)","6.9% (6.3372-7.4187%)","35.0% (34.141076-35.83513%)","98.8% (97.5951350-99.526523%)","2.9 (2.8-2.9)",0.04623739,0.99837512,0.996655,0.99934647,0.06863202,0.06337184,0.0741873,0.34984545,0.34141076,0.35835129,0.98825503,0.97595135,0.99526523,0.93136798
"MDF","CAD4TBv6",21,"99.8% (99.634-99.91979%)","7.5% (6.9329-8.0578%)","35.1% (34.284544-35.98397%)","98.8% (97.5893590-99.467184%)","2.8 (2.8-2.9)",0.05042669,0.99814299,0.99634425,0.99919794,0.07480774,0.06932854,0.08057765,0.35130719,0.34284544,0.3598397,0.98769231,0.97589359,0.99467184,0.92519226
"MDF","CAD4TBv6",22,"99.7% (99.544-99.87247%)","8.0% (7.3944-8.5513%)","35.2% (34.384576-36.08820%)","98.4% (97.1817020-99.206180%)","2.8 (2.8-2.9)",0.05384019,0.99744661,0.99543589,0.99872469,0.07958518,0.07394423,0.08551346,0.35232863,0.34384576,0.36088203,0.98414986,0.97181702,0.9920618,0.92041482
"MDF","CAD4TBv6",23,"99.7% (99.544-99.87247%)","8.4% (7.8679-9.0563%)","35.4% (34.504168-36.21208%)","98.5% (97.3415750-99.251619%)","2.8 (2.8-2.9)",0.05709853,0.99744661,0.99543589,0.99872469,0.08447914,0.07867882,0.09056336,0.35354616,0.34504168,0.36212082,0.98505435,0.97341575,0.99251619,0.91552086
"MDF","CAD4TBv6",24,"99.7% (99.544-99.87247%)","9.1% (8.4662-9.6928%)","35.5% (34.656276-36.36962%)","98.6% (97.5191640-99.302036%)","2.8 (2.7-2.9)",0.06121024,0.99744661,0.99543589,0.99872469,0.09065486,0.08466177,0.0969275,0.35509462,0.34656276,0.36369623,0.9860583,0.97519164,0.99302036,0.90934514
"MDF","CAD4TBv6",25,"99.7% (99.426-99.80499%)","9.5% (8.9183-10.1725%)","35.6% (34.750587-36.46811%)","98.2% (97.0473550-98.988736%)","2.8 (2.7-2.9)",0.06462374,0.99651811,0.99426364,0.99804994,0.09531578,0.0891829,0.10172494,0.35605872,0.34750587,0.36468111,0.9819928,0.97047355,0.98988736,0.90468422
"MDF","CAD4TBv6",26,"99.6% (99.369-99.76996%)","10.1% (9.4841-10.7715%)","35.7% (34.885535-36.60826%)","98.1% (96.9422140-98.877120%)","2.8 (2.7-2.9)",0.06865787,0.99605385,0.99368933,0.9976996,0.10114192,0.09484067,0.10771541,0.3574344,0.34885535,0.36608263,0.98079096,0.96942214,0.9887712,0.89885808
"MDF","CAD4TBv6",27,"99.6% (99.369-99.76996%)","10.5% (9.8805-11.1905%)","35.8% (34.988214-36.71458%)","98.2% (97.0578930-98.919981%)","2.8 (2.7-2.9)",0.07137316,0.99605385,0.99368933,0.9976996,0.10522023,0.09880504,0.11190481,0.35847953,0.34988214,0.3671458,0.98152174,0.97057893,0.98919981,0.89477977
"MDF","CAD4TBv6",28,"99.6% (99.340-99.75219%)","11.1% (10.4247-11.7645%)","36.0% (35.124642-36.85603%)","98.1% (97.0800540-98.895455%)","2.8 (2.7-2.8)",0.07517455,0.99582173,0.99340454,0.99752187,0.11081333,0.10424681,0.11764536,0.35986914,0.35124642,0.36856033,0.98142415,0.97080054,0.98895455,0.88918667
"MDF","CAD4TBv6",29,"99.6% (99.340-99.75219%)","11.7% (11.0035-12.3739%)","36.1% (35.276565-37.01330%)","98.2% (97.2252980-98.950855%)","2.8 (2.7-2.8)",0.0791311099999999,0.99582173,0.99340454,0.99752187,0.116756,0.11003455,0.12373884,0.36141533,0.35276565,0.37013303,0.98235294,0.97225298,0.98950855,0.883244
"MDF","CAD4TBv6",30,"99.6% (99.312-99.73426%)","12.1% (11.3783-12.7679%)","36.2% (35.370177-37.11041%)","98.2% (97.1991910-98.911282%)","2.8 (2.7-2.8)",0.08176881,0.9955896,0.99312115,0.99734263,0.12060126,0.11378259,0.12767865,0.36236904,0.35370177,0.37110406,0.98197343,0.97199191,0.98911282,0.87939874
"MDF","CAD4TBv6",31,"99.5% (99.200-99.66127%)","12.8% (12.0944-13.5194%)","36.4% (35.539090-37.28606%)","97.9% (96.9372130-98.695036%)","2.7 (2.7-2.8)",0.08696664,0.9946611,0.99199973,0.99661267,0.1279422,0.12094415,0.13519391,0.36409211,0.3553909,0.37286059,0.9794826,0.96937213,0.98695036,0.8720578
"MDF","CAD4TBv6",32,"99.4% (99.172-99.64274%)","13.4% (12.6975-14.1510%)","36.6% (35.695527-37.44816%)","98.0% (96.9760100-98.687020%)","2.7 (2.7-2.8)",0.09115593,0.99442897,0.99172202,0.99642737,0.13411792,0.1269749,0.14151032,0.36568502,0.35695527,0.37448156,0.97957447,0.9697601,0.9868702,0.86588208
"MDF","CAD4TBv6",33,"99.4% (99.172-99.64274%)","14.1% (13.3808-14.8655%)","36.8% (35.880543-37.63959%)","98.1% (97.1222220-98.751008%)","2.7 (2.7-2.8)",0.09581071,0.99442897,0.99172202,0.99642737,0.1411093,0.13380831,0.14865485,0.36756757,0.35880543,0.3763959,0.9805668,0.97122222,0.98751008,0.8588907
"MDF","CAD4TBv6",34,"99.4% (99.172-99.64274%)","14.8% (14.0192-15.5318%)","36.9% (36.054965-37.82003%)","98.1% (97.2464820-98.805348%)","2.7 (2.6-2.8)",0.10015516,0.99442897,0.99172202,0.99642737,0.14763458,0.1401917,0.15531754,0.36934218,0.36054965,0.37820034,0.98140976,0.97246482,0.98805348,0.85236542
"MDF","CAD4TBv6",35,"99.4% (99.117-99.60539%)","15.4% (14.6466-16.1856%)","37.1% (36.217015-37.98808%)","98.1% (97.1865850-98.736282%)","2.7 (2.6-2.8)",0.10457719,0.99396472,0.99116933,0.99605388,0.15404335,0.14646602,0.16185634,0.3709929,0.36217015,0.37988076,0.98071217,0.97186585,0.98736282,0.84595665
"MDF","CAD4TBv6",36,"99.3% (99.035-99.54872%)","16.0% (15.2745-16.8391%)","37.3% (36.375211-38.15232%)","97.9% (97.0511280-98.614406%)","2.7 (2.6-2.7)",0.1090768,0.99326834,0.99034641,0.9954872,0.16045211,0.15274495,0.16839053,0.37260536,0.36375211,0.38152324,0.97937411,0.97051128,0.98614406,0.83954789
"MDF","CAD4TBv6",37,"99.3% (99.007-99.52968%)","16.5% (15.6971-17.2784%)","37.4% (36.488126-38.26930%)","97.9% (97.0473490-98.593994%)","2.7 (2.6-2.7)",0.11202483,0.99303621,0.99007357,0.99529677,0.16476346,0.15697145,0.17278377,0.37375502,0.36488126,0.38269305,0.97922438,0.97047349,0.98593994,0.83523654
"MDF","CAD4TBv6",38,"99.3% (98.953-99.49138%)","17.1% (16.2686-17.8718%)","37.5% (36.638355-38.42507%)","97.9% (96.9936430-98.532410%)","2.7 (2.6-2.7)",0.11605896,0.99257196,0.98952987,0.99491384,0.17058961,0.16268598,0.17871754,0.37528524,0.36638355,0.38425069,0.97860963,0.96993643,0.9853241,0.82941039
"MDF","CAD4TBv6",39,"99.2% (98.926-99.47214%)","17.6% (16.8175-18.4411%)","37.7% (36.788946-38.58098%)","97.9% (97.0133540-98.525278%)","2.7 (2.6-2.7)",0.11986036,0.99233983,0.98925895,0.9947214,0.17618271,0.1681751,0.18441078,0.37681798,0.36788946,0.38580976,0.97864078,0.97013354,0.98525278,0.82381729
"MDF","CAD4TBv6",40,"99.2% (98.899-99.45283%)","18.0% (17.2065-18.8442%)","37.8% (36.894802-38.69062%)","97.8% (97.0058240-98.505255%)","2.6 (2.6-2.7)",0.12257564,0.99210771,0.98898862,0.99452834,0.18014449,0.17206505,0.18844168,0.37789567,0.36894802,0.38690621,0.97848101,0.97005824,0.98505255,0.81985551
"MDF","CAD4TBv6",41,"99.2% (98.845-99.41405%)","18.5% (17.7101-19.3656%)","37.9% (37.028878-38.82964%)","97.8% (96.9479360-98.444623%)","2.6 (2.6-2.7)",0.1261443,0.99164345,0.98844962,0.99414051,0.1852715,0.17710126,0.19365597,0.37926136,0.37028878,0.38829639,0.97785978,0.96947936,0.98444623,0.8147285
"MDF","CAD4TBv6",42,"99.1% (98.764-99.35548%)","19.0% (18.2140-19.8868%)","38.1% (37.158527-38.96428%)","97.7% (96.8269230-98.337202%)","2.6 (2.6-2.7)",0.12979054,0.99094708,0.98764494,0.99355479,0.19039851,0.18213985,0.1988679,0.38058304,0.37158527,0.38964284,0.97668858,0.96826923,0.98337202,0.80960149
"MDF","CAD4TBv6",43,"99.0% (98.711-99.31619%)","19.5% (18.6837-20.3722%)","38.2% (37.284736-39.09515%)","97.6% (96.7725240-98.280085%)","2.6 (2.6-2.7)",0.13312645,0.99048282,0.98711081,0.9931619,0.19517595,0.18683697,0.20372239,0.38186862,0.37284736,0.39095147,0.97610723,0.96772524,0.98280085,0.80482405
"MDF","CAD4TBv6",44,"99.0% (98.658-99.27672%)","20.2% (19.3829-21.0941%)","38.4% (37.479759-39.29710%)","97.6% (96.7578930-98.245347%)","2.6 (2.5-2.7)",0.13801396,0.99001857,0.98657839,0.99276724,0.20228385,0.19382893,0.21094137,0.38385384,0.37479759,0.39297099,0.97582912,0.96757893,0.98245347,0.79771615
"MDF","CAD4TBv6",45,"98.7% (98.263-98.97613%)","24.8% (23.8968-25.7358%)","39.7% (38.779757-40.64283%)","97.3% (96.5849890-97.980179%)","2.5 (2.5-2.6)",0.16966641,0.98653668,0.98262989,0.98976129,0.24807737,0.23896821,0.25735786,0.39708493,0.38779757,0.40642831,0.97347965,0.96584989,0.97980179,0.75192263
"MDF","CAD4TBv6",46,"98.3% (97.874-98.66947%)","28.9% (27.8940-29.8225%)","41.0% (40.003526-41.90854%)","97.1% (96.4124450-97.748615%)","2.4 (2.4-2.5)",0.19775019,0.98305478,0.97874051,0.98669474,0.28851084,0.27894008,0.29822537,0.40953486,0.40003526,0.41908544,0.97136132,0.96412445,0.97748615,0.71148916
"MDF","CAD4TBv6",47,"98.0% (97.515-98.37938%)","32.9% (31.8659-33.8647%)","42.3% (41.310180-43.25808%)","97.0% (96.3213850-97.596116%)","2.4 (2.3-2.4)",0.22552366,0.97980501,0.97514849,0.98379381,0.32859473,0.31865855,0.3386474,0.42281879,0.4131018,0.43258083,0.97007224,0.96321385,0.97596116,0.67140527
"MDF","CAD4TBv6",48,"97.7% (97.158-98.08643%)","36.7% (35.6491-37.6996%)","43.6% (42.639008-44.62889%)","96.9% (96.2342510-97.460191%)","2.3 (2.2-2.3)",0.25197828,0.97655525,0.97158462,0.98086426,0.36669774,0.35649055,0.37699551,0.43632027,0.42639008,0.44628894,0.96890394,0.96234251,0.97460191,0.63330226
"MDF","CAD4TBv6",49,"97.1% (96.603-97.62159%)","40.1% (39.0447-41.1298%)","44.9% (43.856741-45.88593%)","96.5% (95.8949170-97.122880%)","2.2 (2.2-2.3)",0.27641583,0.97144847,0.96602839,0.97621593,0.40083897,0.39044747,0.41129783,0.44869733,0.43856741,0.45885931,0.96547853,0.95894917,0.9712288,0.59916103
"MDF","CAD4TBv6",50,"96.8% (96.252-97.32351%)","43.2% (42.1205-44.2277%)","46.1% (45.067348-47.13234%)","96.4% (95.7983630-96.997968%)","2.2 (2.1-2.2)",0.29806051,0.9681987,0.9625152,0.97323506,0.43171755,0.42120458,0.44227691,0.46098585,0.45067348,0.47132336,0.96434149,0.95798363,0.96997968,0.56828245
"MDF","CAD4TBv6",51,"96.3% (95.727-96.87369%)","45.5% (44.4561-46.5746%)","47.0% (45.974361-48.06794%)","96.1% (95.4715200-96.685451%)","2.1 (2.1-2.2)",0.31528317,0.96332405,0.957272,0.96873687,0.45513866,0.44456131,0.46574649,0.47020168,0.45974361,0.48067943,0.96112205,0.9547152,0.96685451,0.54486134
"MDF","CAD4TBv6",52,"95.7% (95.057-96.29146%)","47.6% (46.4916-48.6161%)","47.8% (46.749278-48.86909%)","95.7% (95.0084260-96.254845%)","2.1 (2-2.1)",0.33095423,0.95705664,0.95056925,0.96291465,0.47553018,0.46491592,0.48616106,0.47808442,0.46749278,0.48869086,0.95663385,0.95008426,0.96254845,0.52446982
"MDF","CAD4TBv6",53,"95.4% (94.711-95.98813%)","49.4% (48.3075-50.4344%)","48.6% (47.533520-49.67586%)","95.5% (94.8629020-96.104237%)","2.1 (2-2.1)",0.34414275,0.95380687,0.94710804,0.95988131,0.49370776,0.48307549,0.5043443,0.48604211,0.4753352,0.49675864,0.95513977,0.94862902,0.96104237,0.50629224
