"Site","DeepLearningSystem","Score","Sensitivity","Specificity","PPV","NPV","nnt","XpertSaved%","Sens","Sens_L","Sens_H","Spec","Spec_L","Spec_H","ppv","PPV_L","PPV_H","npv","NPV_L","NPV_H","X"
"MDF","qXRv3",58,"90.7% (89.833-91.58760%)","73.2% (72.2726-74.1577%)","63.0% (61.762104-64.18026%)","94.0% (93.4346050-94.585860%)","1.6 (1.6-1.6)",0.51846393,0.90738162,0.89833032,0.91587603,0.73223025,0.72272593,0.74157666,0.62977284,0.61762104,0.64180256,0.94029627,0.93434605,0.9458586,0.26776975
"MDF","qXRv3",59,"90.5% (89.567-91.34305%)","73.8% (72.8144-74.6875%)","63.4% (62.163823-64.58770%)","93.9% (93.3196110-94.475861%)","1.6 (1.5-1.6)",0.52288596,0.90482823,0.89567267,0.91343052,0.73759031,0.7281445,0.74687455,0.63382114,0.62163823,0.64587699,0.93916914,0.93319611,0.94475861,0.26240969
"MDF","qXRv3",60,"90.0% (89.036-90.85338%)","74.2% (73.2504-75.1135%)","63.6% (62.412285-64.84439%)","93.6% (93.0399980-94.214478%)","1.6 (1.5-1.6)",0.52746315,0.89972145,0.89036305,0.90853377,0.74190165,0.73250421,0.75113461,0.63634871,0.62412285,0.64844386,0.93646124,0.93039998,0.94214478,0.25809835
"MDF","qXRv3",61,"89.6% (88.675-90.51909%)","74.6% (73.7101-75.5624%)","64.0% (62.729667-65.16805%)","93.5% (92.8666670-94.050631%)","1.6 (1.5-1.6)",0.53165244,0.89623955,0.886747,0.90519093,0.74644605,0.73710084,0.75562367,0.63955607,0.62729667,0.65168048,0.93477309,0.92866667,0.94050631,0.25355395
"MDF","qXRv3",62,"89.4% (88.410-90.27375%)","75.0% (74.0873-75.9306%)","64.2% (63.002428-65.44550%)","93.4% (92.7449600-93.934997%)","1.6 (1.5-1.6)",0.53498836,0.89368617,0.88409726,0.90273747,0.75017478,0.74087343,0.75930601,0.64230898,0.63002428,0.65445502,0.93358469,0.9274496,0.93934997,0.24982522
"MDF","qXRv3",63,"89.1% (88.121-90.00591%)","75.6% (74.6534-76.4828%)","64.7% (63.446601-65.89520%)","93.2% (92.6278630-93.822067%)","1.5 (1.5-1.6)",0.53964313,0.89090065,0.88120852,0.90005908,0.75576789,0.74653401,0.76482781,0.64678126,0.63446601,0.65895205,0.93243243,0.92627863,0.93822067,0.24423211
"MDF","qXRv3",64,"88.7% (87.760-89.67084%)","76.1% (75.1371-76.9543%)","65.0% (63.804370-66.25894%)","93.1% (92.4641420-93.666308%)","1.5 (1.5-1.6)",0.54398759,0.88741876,0.87760027,0.89670841,0.76054533,0.75137074,0.7695427,0.65039129,0.6380437,0.66258944,0.93083286,0.92464142,0.93666308,0.23945467
"MDF","qXRv3",65,"88.4% (87.375-89.31312%)","76.6% (75.6445-77.4486%)","65.4% (64.185495-66.64625%)","92.9% (92.2917290-93.502043%)","1.5 (1.5-1.6)",0.54856478,0.88370474,0.87375462,0.8931312,0.76555581,0.75644508,0.77448592,0.65423612,0.64185495,0.66646247,0.92914722,0.92291729,0.93502043,0.23444419
"MDF","qXRv3",66,"88.0% (86.943-88.91031%)","77.0% (76.0813-77.8738%)","65.7% (64.493996-66.96126%)","92.7% (92.0887950-93.309603%)","1.5 (1.5-1.6)",0.55283165,0.87952646,0.86943199,0.88910312,0.76986716,0.76081276,0.77873799,0.657356,0.64493996,0.66961258,0.92716812,0.92088795,0.93309603,0.23013284
"MDF","qXRv3",67,"87.5% (86.463-88.46230%)","77.5% (76.5890-78.3678%)","66.1% (64.865755-67.34015%)","92.5% (91.8693090-93.100828%)","1.5 (1.5-1.5)",0.55771916,0.87488394,0.86463348,0.88462304,0.77487765,0.76589038,0.78367793,0.66111209,0.64865755,0.67340154,0.92502434,0.91869309,0.93100828,0.22512235
"MDF","qXRv3",68,"87.1% (86.104-88.12600%)","78.0% (77.0852-78.8501%)","66.5% (65.264709-67.74442%)","92.4% (91.7184680-92.956005%)","1.5 (1.5-1.5)",0.56214119,0.87140204,0.86103752,0.88126005,0.77977162,0.77085167,0.78850122,0.66513111,0.65264709,0.67744421,0.92354402,0.91718468,0.92956005,0.22022838
"MDF","qXRv3",69,"86.9% (85.840-87.87923%)","78.5% (77.6524-79.4011%)","67.0% (65.768185-68.25161%)","92.3% (91.6291130-92.868052%)","1.5 (1.5-1.5)",0.56671839,0.86884865,0.85840201,0.87879232,0.78536472,0.7765239,0.79401138,0.670188,0.65768185,0.68251612,0.92265572,0.91629113,0.92868052,0.21463528
"MDF","qXRv3",70,"86.4% (85.290-87.36285%)","79.0% (78.1726-79.9060%)","67.4% (66.161068-68.65195%)","92.0% (91.3818850-92.632395%)","1.5 (1.5-1.5)",0.57191621,0.86350975,0.85289546,0.87362847,0.79049173,0.78172554,0.79906026,0.6741573,0.66161068,0.68651951,0.92023874,0.91381885,0.92632395,0.20950827
"MDF","qXRv3",71,"85.9% (84.787-86.89090%)","79.6% (78.6811-80.3992%)","67.8% (66.563513-69.06096%)","91.8% (91.1636140-92.423608%)","1.5 (1.4-1.5)",0.5768813,0.8586351,0.84787232,0.86890905,0.79550221,0.78681095,0.80399239,0.67821782,0.66563513,0.69060957,0.91810113,0.91163614,0.92423608,0.20449779
"MDF","qXRv3",72,"85.3% (84.238-86.37354%)","80.1% (79.2253-80.9266%)","68.3% (67.001597-69.50597%)","91.6% (90.9277300-92.197652%)","1.5 (1.4-1.5)",0.58223429,0.85329619,0.84237559,0.86373535,0.80086227,0.7922534,0.80926639,0.68263695,0.67001597,0.69505972,0.91578947,0.9092773,0.92197652,0.19913773
"MDF","qXRv3",73,"85.1% (83.951-86.10341%)","80.8% (79.9948-81.6715%)","69.0% (67.764364-70.27045%)","91.5% (90.8560000-92.124276%)","1.4 (1.4-1.5)",0.58820791,0.85051068,0.83950965,0.86103411,0.80843626,0.7999479,0.81671469,0.69027882,0.67764364,0.70270448,0.91506199,0.90856,0.92124276,0.19156374
"MDF","qXRv3",74,"84.5% (83.426-85.60785%)","81.4% (80.5278-82.1868%)","69.5% (68.223829-70.73554%)","91.3% (90.6387660-91.915522%)","1.4 (1.4-1.5)",0.59340574,0.8454039,0.83425872,0.85607854,0.81367979,0.80527776,0.82186831,0.69490555,0.68223829,0.70735543,0.91292979,0.90638766,0.91915522,0.18632021
