"Site","DeepLearningSystem","Score","Sensitivity","Specificity","PPV","NPV","nnt","XpertSaved"
"MDF","qXRv3",75,"83.9% (82.734-84.95399%)","82.1% (81.2981-82.9308%)",0.523942380355146,0.955951011889572,1.90860681917383,0.695867842304303
"MDF","qXRv3",76,"83.0% (81.877-84.14136%)","82.7% (81.9029-83.5142%)",0.529874488635665,0.954091648720242,1.88723937733788,0.702269149308858
"MDF","qXRv3",77,"82.1% (80.878-83.19204%)","83.5% (82.7098-84.2914%)",0.538614661042031,0.952019020756563,1.85661489062579,0.710539601359499
"MDF","qXRv3",78,"81.4% (80.165-82.51319%)","84.2% (83.4341-84.9881%)",0.547434522094568,0.950648671973163,1.82670248155679,0.717620120344302
"MDF","qXRv3",79,"80.4% (79.144-81.53910%)","85.1% (84.3018-85.8212%)",0.558083700315919,0.94863485796683,1.79184591743841,0.726406594355355
"MDF","qXRv3",80,"78.7% (77.461-79.92815%)","85.9% (85.1821-86.6647%)",0.567625545296703,0.945088752097535,1.76172479953715,0.736522363751992
"MDF","qXRv3",81,"77.3% (75.970-78.49624%)","86.9% (86.2064-87.6439%)",0.581110423513324,0.942171692514369,1.72084333637335,0.747417904330867
"MDF","qXRv3",82,"75.7% (74.410-76.99381%)","87.9% (87.1486-88.5422%)",0.593965136783821,0.939121554632462,1.68360049785878,0.757785071732483
"MDF","qXRv3",83,"73.7% (72.382-75.03278%)","88.8% (88.1518-89.4959%)",0.607713973034239,0.935119797610956,1.64551095477882,0.769506236953378
"MDF","qXRv3",84,"71.6% (70.239-72.95395%)","89.8% (89.1087-90.4027%)",0.621482026598011,0.930941968680981,1.60905699151751,0.781070387762861
"MDF","qXRv3",85,"69.4% (68.005-70.77986%)","90.9% (90.3072-91.5338%)",0.642328568740627,0.926853954613693,1.55683562691386,0.79469862641399
"MDF","qXRv3",86,"66.3% (64.908-67.75290%)","91.9% (91.3163-92.4816%)",0.658043715731327,0.920896899416728,1.51965587710025,0.808448575293195
"MDF","qXRv3",87,"63.0% (61.491-64.39716%)","93.0% (92.4485-93.5393%)",0.678676262436047,0.914550368948567,1.47345657325717,0.823759816004087
"MDF","qXRv3",88,"59.0% (57.474-60.43409%)","94.0% (93.4514-94.4700%)",0.696578907876686,0.907080838234121,1.43558753888802,0.839179540992602
"MDF","qXRv3",89,"54.3% (52.769-55.76702%)","94.9% (94.3851-95.3301%)",0.712889539209906,0.898422577692276,1.40274186251673,0.855356084196869
"MDF","qXRv3",90,"48.8% (47.336-50.34400%)","95.9% (95.4327-96.2860%)",0.735261101613862,0.888754940813792,1.36006106919712,0.87379340750555
"MDF","qXRv3",91,"43.2% (41.736-44.71699%)","96.8% (96.3886-97.1471%)",0.759179885942999,0.879036870293193,1.31721087256925,0.891828494006263
"MDF","qXRv3",92,"37.3% (35.833-38.74326%)","97.7% (97.3154-97.9674%)",0.788745510905923,0.869073539443143,1.26783605887207,0.910197885622279
"MDF","qXRv3",93,"30.2% (28.877-31.64233%)","98.4% (98.1408-98.6795%)",0.81851709005922,0.857459860832075,1.2217215891334,0.929790712547066
"MDF","qXRv3",94,"22.9% (21.640-24.17191%)","99.1% (98.8928-99.3017%)",0.858405175319848,0.845668132928041,1.16495103798436,0.949340310212885
"MDF","qXRv3",95,"14.5% (13.491-15.61909%)","99.6% (99.4197-99.7060%)",0.890417584249716,0.832412735985912,1.12306856657893,0.968993091281508
"MDF","qXRv3",96,"7.4% (6.618-8.20328%)","99.8% (99.6687-99.8756%)",0.89195465077289,0.821213841764525,1.12113323153087,0.984276025677894
"MDF","qXRv3",97,"2.1% (1.704-2.58723%)","100.0% (99.9158-99.9972%)",0.955078532521379,0.813228606072921,1.0470343180681,0.995797769488816
"MDF","qXRv3",98,"0.2% (0.096-0.39621%)","100.0% (99.9570-100.0000%)",1,0.810321646319196,1,0.999603064066852
"MDF","qXRv3",99,"0.0% (0.000-0.08559%)","100.0% (99.9570-100.0000%)",NA,0.81,NA,1
"MDF","qXRv3",100,"0.0% (0.000-0.08559%)","100.0% (99.9570-100.0000%)",NA,0.81,NA,1
"MDF","qXRv2",0,"100.0% (99.914-100.00000%)","0.0% (0.0000-0.0430%)",0.19,NA,5.26315789473684,0
"MDF","qXRv2",1,"100.0% (99.914-100.00000%)","0.0% (0.0000-0.0430%)",0.19,NA,5.26315789473684,0
"MDF","qXRv2",2,"100.0% (99.914-100.00000%)","0.0% (0.0000-0.0430%)",0.19,NA,5.26315789473684,0
"MDF","qXRv2",3,"100.0% (99.914-100.00000%)","0.2% (0.1154-0.3170%)",0.190305348909707,1,5.25471304789474,0.0016045210906549
"MDF","qXRv2",4,"100.0% (99.871-99.99941%)","1.5% (1.2991-1.8340%)",0.192379320727195,0.996498826771535,5.19806388867574,0.0125971219371072
"MDF","qXRv2",5,"99.9% (99.797-99.98564%)","4.1% (3.6697-4.5185%)",0.19638097031116,0.996010675389024,5.0921430850226,0.0331665697264925
"MDF","qXRv2",6,"99.8% (99.665-99.93465%)","8.1% (7.4846-8.6476%)",0.202992952092613,0.995288606472862,4.92627940867504,0.0655277911034453
"MDF","qXRv2",7,"99.8% (99.604-99.90443%)","12.0% (11.3555-12.7440%)",0.210178529816741,0.995945289923023,4.75785990544286,0.0978951880888222
"MDF","qXRv2",8,"99.5% (99.284-99.71620%)","16.4% (15.6629-17.2428%)",0.218395427551148,0.99342012339443,4.57885044212201,0.134057330375792
"MDF","qXRv2",9,"99.4% (99.145-99.62411%)","20.7% (19.8301-21.5555%)",0.227213143318446,0.993461557093891,4.40115384785847,0.16863347839738
