"Country","DeepLearningSystem","Score","%XpertSaved","accuracy","Sens","Sensitivity","Specificity","PPV","NPV","X","Comment"
"Bangladesh","JF1",0.66,0.4498,0.5848,0.9432,"0.9432(0.94-0.95)","0.5204(0.51-0.53)","0.2612(0.25-0.27)","0.9808(0.98-0.98)",0.4796,""
"Bangladesh","JF1",0.67,0.452,0.5868,0.9424,"0.9424(0.93-0.95)","0.5229(0.52-0.53)","0.2621(0.25-0.27)","0.9806(0.98-0.98)",0.4771,""
"Bangladesh","JF1",0.68,0.4545,0.5891,0.9418,"0.9418(0.93-0.95)","0.5257(0.52-0.53)","0.2631(0.26-0.27)","0.9805(0.98-0.98)",0.4743,""
"Bangladesh","JF1",0.69,0.4562,0.5909,0.9418,"0.9418(0.93-0.95)","0.5278(0.52-0.53)","0.2639(0.26-0.27)","0.9806(0.98-0.98)",0.4722,""
"Bangladesh","JF1",0.7,0.4587,0.5932,0.941,"0.941(0.93-0.95)","0.5306(0.52-0.54)","0.2649(0.26-0.27)","0.9804(0.98-0.98)",0.4694,""
"Bangladesh","JF1",0.71,0.4609,0.5951,0.9405,"0.9405(0.93-0.95)","0.5331(0.53-0.54)","0.2658(0.26-0.27)","0.9803(0.98-0.98)",0.4669,""
"Bangladesh","JF1",0.72,0.4635,0.5975,0.9397,"0.9397(0.93-0.95)","0.536(0.53-0.54)","0.2669(0.26-0.27)","0.9802(0.98-0.98)",0.464,""
"Bangladesh","JF1",0.73,0.4662,0.5996,0.9377,"0.9377(0.93-0.95)","0.5388(0.53-0.55)","0.2677(0.26-0.28)","0.9796(0.98-0.98)",0.4612,""
"Bangladesh","JF1",0.74,0.4684,0.6016,0.9369,"0.9369(0.93-0.94)","0.5413(0.53-0.55)","0.2686(0.26-0.28)","0.9795(0.98-0.98)",0.4587,""
"Bangladesh","JF1",0.75,0.4714,0.6041,0.9353,"0.9353(0.93-0.94)","0.5446(0.54-0.55)","0.2696(0.26-0.28)","0.9791(0.98-0.98)",0.4554,""
"Bangladesh","JF1",0.76,0.4748,0.6072,0.9345,"0.9345(0.93-0.94)","0.5483(0.54-0.56)","0.2711(0.26-0.28)","0.979(0.98-0.98)",0.4517,""
"Bangladesh","JF1",0.77,0.4781,0.6099,0.9326,"0.9326(0.92-0.94)","0.5519(0.55-0.56)","0.2723(0.26-0.28)","0.9785(0.98-0.98)",0.4481,""
"Bangladesh","JF1",0.78,0.4813,0.6128,0.9317,"0.9317(0.92-0.94)","0.5555(0.55-0.56)","0.2737(0.27-0.28)","0.9784(0.98-0.98)",0.4445,""
"Bangladesh","JF1",0.79,0.4837,0.6151,0.9312,"0.9312(0.92-0.94)","0.5583(0.55-0.57)","0.2748(0.27-0.28)","0.9783(0.98-0.98)",0.4417,""
"Bangladesh","JF1",0.8,0.4868,0.6177,0.9295,"0.9295(0.92-0.94)","0.5616(0.55-0.57)","0.276(0.27-0.28)","0.9779(0.98-0.98)",0.4384,""
"Bangladesh","JF1",0.81,0.4896,0.6202,0.9285,"0.9285(0.92-0.94)","0.5648(0.56-0.57)","0.2772(0.27-0.29)","0.9777(0.97-0.98)",0.4352,""
"Bangladesh","JF1",0.82,0.492,0.6221,0.9268,"0.9268(0.92-0.94)","0.5673(0.56-0.57)","0.278(0.27-0.29)","0.9773(0.97-0.98)",0.4327,""
"Bangladesh","JF1",0.83,0.4949,0.6244,0.9249,"0.9249(0.92-0.93)","0.5703(0.56-0.58)","0.279(0.27-0.29)","0.9769(0.97-0.98)",0.4297,""
"Bangladesh","JF1",0.84,0.4983,0.6271,0.9227,"0.9227(0.91-0.93)","0.574(0.57-0.58)","0.2803(0.27-0.29)","0.9764(0.97-0.98)",0.426,""
"Bangladesh","JF1",0.85,0.5023,0.6303,0.92,"0.92(0.91-0.93)","0.5782(0.57-0.58)","0.2817(0.27-0.29)","0.9757(0.97-0.98)",0.4218,""
"Bangladesh","JF1",0.86,0.5058,0.6331,0.9175,"0.9175(0.91-0.93)","0.582(0.58-0.59)","0.2829(0.27-0.29)","0.9752(0.97-0.98)",0.418,""
"Bangladesh","JF1",0.87,0.5104,0.6371,0.9156,"0.9156(0.91-0.92)","0.587(0.58-0.59)","0.285(0.28-0.29)","0.9748(0.97-0.98)",0.413,""
"Bangladesh","JF1",0.88,0.5153,0.6412,0.9132,"0.9132(0.9-0.92)","0.5923(0.59-0.6)","0.2871(0.28-0.3)","0.9743(0.97-0.98)",0.4077,""
"Bangladesh","JF1",0.89,0.5198,0.645,0.9107,"0.9107(0.9-0.92)","0.5972(0.59-0.6)","0.289(0.28-0.3)","0.9738(0.97-0.98)",0.4028,""
